AU,Age,Yield,Height,DBHq,TPH,GrossYield,CrownCover
21000,0,0.0,0.0,,,0.0,0.0
21000,10,0.0,3.0,,,0.0,4.7
21000,20,0.2,8.1,,,10.1,40.7
21000,30,58.0,13.4,,,78.9,80.9
21000,40,170.5,18.0,,,197.9,88.6
21000,50,292.1,22.0,,,328.4,88.8
21000,60,416.2,25.4,,,461.9,88.3
21000,70,540.5,28.4,,,596.2,87.9
21000,80,654.8,31.0,,,721.7,87.4
21000,90,760.8,33.3,,,840.3,87.0
21000,100,860.8,35.3,,,955.0,86.5
21000,110,941.8,37.1,,,1052.6,86.0
21000,120,1012.1,38.7,,,1139.8,85.6
21001,0,0.0,0.0,,,0.0,0.0
21001,10,0.0,2.9,,,0.0,5.3
21001,20,0.4,8.7,,,11.9,48.5
21001,30,57.8,14.2,,,77.3,73.0
21001,40,149.4,18.9,,,174.9,76.2
21001,50,240.4,22.8,,,272.9,76.1
21001,60,334.5,26.1,,,374.1,75.7
21001,70,424.6,28.9,,,471.7,75.3
21001,80,505.1,31.3,,,560.6,74.9
21001,90,577.2,33.4,,,641.8,74.5
21001,100,641.8,35.3,,,716.5,74.1
21001,110,696.5,36.9,,,781.8,73.7
21001,120,748.1,38.3,,,845.0,73.4
21003,0,0.0,0.0,,,0.0,0.0
21003,10,0.0,2.2,,,0.0,2.1
21003,20,0.0,5.3,,,1.1,13.6
21003,30,0.8,8.8,,,11.4,37.9
21003,40,22.3,11.9,,,38.5,60.2
21003,50,69.7,14.7,,,88.0,68.0
21003,60,119.5,17.2,,,141.7,69.9
21003,70,168.7,19.4,,,195.4,70.3
21003,80,215.8,21.3,,,247.3,70.1
21003,90,259.0,23.1,,,295.3,69.8
21003,100,303.4,24.6,,,344.9,69.4
21003,110,347.5,26.0,,,394.6,69.0
21003,120,386.2,27.2,,,438.9,68.7
22001,0,0.0,0.0,,,0.0,0.0
22001,10,0.0,4.0,,,0.3,12.7
22001,20,32.9,12.0,,,55.2,86.1
22001,30,196.9,19.2,,,228.2,95.3
22001,40,386.1,25.3,,,429.5,95.1
22001,50,590.2,30.3,,,646.6,94.6
22001,60,770.7,34.5,,,842.7,94.1
22001,70,931.7,38.1,,,1023.7,93.7
22001,80,1073.5,41.2,,,1189.8,93.2
22001,90,1194.8,43.8,,,1341.2,92.7
22001,100,1296.7,46.1,,,1477.2,92.2
22001,110,1382.8,48.2,,,1603.4,91.7
22001,120,1457.5,50.0,,,1719.1,91.2
22002,0,0.0,0.0,,,0.0,0.0
22002,10,0.0,2.2,,,0.0,2.0
22002,20,0.0,5.2,,,1.0,12.6
22002,30,0.6,8.6,,,10.3,35.5
22002,40,19.5,11.7,,,35.0,57.3
22002,50,63.1,14.5,,,80.7,65.4
22002,60,109.8,16.9,,,130.9,67.8
22002,70,155.8,19.0,,,181.1,68.3
22002,80,200.0,20.9,,,229.9,68.2
22002,90,241.6,22.6,,,276.1,67.8
22002,100,281.1,24.2,,,320.4,67.5
22002,110,323.4,25.5,,,368.0,67.1
22002,120,360.8,26.8,,,410.7,66.8
22003,0,0.0,0.0,,,0.0,0.0
22003,10,0.0,2.5,,,0.0,3.1
22003,20,0.0,6.7,,,4.2,26.0
22003,30,18.2,11.2,,,36.0,64.4
22003,40,90.6,15.2,,,111.7,79.4
22003,50,174.9,18.7,,,202.3,81.6
22003,60,261.0,21.7,,,295.3,81.5
22003,70,342.9,24.4,,,384.5,81.1
22003,80,431.8,26.7,,,481.4,80.7
22003,90,509.3,28.8,,,567.0,80.3
22003,100,582.2,30.6,,,648.8,79.8
22003,110,649.5,32.2,,,725.7,79.4
22003,120,712.0,33.7,,,799.0,79.0
22004,0,0.0,0.0,,,0.0,0.0
22004,10,0.0,3.1,,,0.0,8.0
22004,20,2.3,9.3,,,19.6,67.7
22004,30,86.6,15.1,,,111.8,92.7
22004,40,208.3,20.0,,,241.8,94.9
22004,50,322.9,24.0,,,365.4,94.6
22004,60,449.1,27.4,,,500.5,94.1
22004,70,563.9,30.2,,,625.5,93.7
22004,80,661.4,32.7,,,733.6,93.2
22004,90,751.8,34.8,,,836.2,92.7
22004,100,828.2,36.7,,,925.7,92.2
22004,110,898.8,38.3,,,1010.8,91.7
22004,120,961.3,39.8,,,1087.8,91.2
22005,0,0.0,0.0,,,0.0,0.0
