CURVE,X,Y
51,0,0.1
192,0,0.13
322,0,0.17
226,0,0.19
91,0,0.18
50,0,0.2
28,0,0.15
320,0,0.23
248,0,0.21
216,0,0.23
319,0,0.26
379,0,0.3
348,0,0.32
321,0,0.34
303,0,0.3
247,0,0.28
246,0,0.51
138,0,0.39
30,0,0.25
347,0,0.68
139,0,0.61
29,0,0.6
8,0,0.2
360,0,0.77
236,0,0.8
227,0,0.81
217,0,0.77
106,0,0.7
277,0,0.85
193,0,0.87
186,0,1
190,0,1
190,5,1
190,6,0
92,0,0.82
52,0,0.7
7,0,0.7
6,0,0.1
341,0,0
341,2,0
341,3,0.1
341,4,0.1
341,6,0.3
341,7,0.3
341,13,0.9
341,14,1.1
341,17,1.4
341,18,1.7
341,21,2
341,22,2.3
341,24,2.5
341,25,2.7
341,26,3
341,28,3.2
341,29,3.4
341,30,3.7
341,32,3.9
341,33,4.1
341,34,4.4
341,35,4.5
341,36,4.7
341,37,4.8
341,38,5.1
341,39,5.3
341,40,5.4
341,41,5.6
341,42,5.9
341,43,6.1
341,44,6.2
341,45,6.4
341,46,6.7
341,47,6.8
341,48,7
341,49,7.1
341,50,7.5
341,51,7.6
341,52,7.8
341,53,7.9
341,54,8.2
341,55,8.4
341,56,8.5
341,57,8.7
341,58,9
341,59,9.2
341,60,9.3
341,61,9.5
341,62,9.8
341,63,9.9
341,64,10.1
341,65,10.2
341,66,10.5
341,67,10.7
341,68,10.8
341,69,11
341,70,11.3
341,71,11.4
341,72,11.6
341,73,11.7
341,74,12
341,75,12.1
341,76,12.3
341,77,12.4
341,78,12.7
341,79,12.8
341,80,13
341,81,13.1
341,82,13.4
341,83,13.5
341,84,13.7
341,85,13.8
341,86,14.1
341,88,14.3
341,90,14.7
341,91,14.8
341,92,15
341,93,15.1
341,95,15.5
341,97,15.7
341,99,16.1
341,101,16.3
341,102,16.5
341,104,16.7
341,106,17.1
341,109,17.4
341,110,17.6
341,113,17.9
341,114,18.1
341,117,18.4
341,118,18.6
341,125,19.3
341,126,19.5
341,127,19.5
341,129,19.7
341,130,19.9
341,131,19.9
341,139,20.7
341,140,20.7
341,143,21
341,144,21
341,147,21.3
341,148,21.3
341,151,21.6
341,152,21.6
341,154,21.8
341,155,21.8
341,156,21.9
341,157,21.9
341,158,22
341,159,22
341,160,22.1
341,161,22.1
341,162,22.2
341,163,22.2
341,164,22.3
341,165,22.3
341,166,22.4
341,167,22.4
341,168,22.5
341,169,22.5
341,170,22.6
341,173,22.6
341,174,22.7
341,175,22.7
341,176,22.8
341,178,22.8
341,179,22.9
341,182,22.9
341,183,23
341,187,23
341,188,23.1
341,194,23.1
341,195,23.2
293,0,0
293,3,0
293,5,0.2
293,6,0.5
293,8,1.3
293,9,1.9
293,10,3.7
293,11,4.7
293,12,6.1
293,13,7.6
293,14,11.5
293,15,13.9
293,16,16.5
293,17,19.4
293,18,26.2
293,19,30
293,20,34.1
293,21,38.7
293,22,48.6
293,23,54.1
293,24,59.8
293,25,65.9
293,26,78.9
293,27,85.9
293,28,93.3
293,29,100.9
293,30,116.9
293,31,125.3
293,32,134
293,33,142.9
293,34,161.2
293,35,170.8
293,37,190.7
293,38,211.1
293,39,221.5
293,41,242.7
293,42,264.4
293,45,297.3
293,46,319.6
293,49,353.3
293,50,376
293,53,409.8
293,54,432.4
293,57,466
293,58,488.3
293,61,521.3
293,62,542.9
293,65,574.9
293,66,595.7
293,69,626.3
293,70,646.3
293,72,665.8
293,73,675.3
293,74,694.1
293,76,712.5
293,77,721.5
293,78,739.1
293,79,747.8
293,80,756.3
293,81,764.6
293,82,781
293,83,789
293,85,804.5
293,86,819.5
293,87,826.9
293,89,841
293,90,854.6
293,91,861.3
293,93,874.1
293,94,886.4
293,95,892.3
293,97,903.7
293,98,914.5
293,99,919.8
293,100,924.9
293,101,929.8
293,102,939.3
293,103,943.9
293,104,948.3
293,105,952.5
293,106,960.8
293,108,968.4
293,109,971.9
293,110,978.8
293,111,982
293,112,985.1
293,113,988.1
293,114,993.6
293,115,996.3
293,117,1001.1
293,118,1005.4
293,119,1007.4
293,121,1011
293,122,1014.1
293,123,1015.6
293,124,1016.9
293,125,1018.1
293,126,1020.1
293,127,1021
293,128,1021.8
293,129,1022.4
293,130,1023.4
293,131,1023.8
293,132,1023.9
293,133,1024.1
293,134,1024.2
280,0,0
280,3,0
280,5,0.2
280,6,0.8
280,7,1.3
280,8,1.9
280,9,2.8
280,10,5.2
280,11,6.8
280,12,8.7
280,13,10.9
280,14,16.5
280,15,19.9
280,16,23.6
280,17,27.8
280,18,37.4
280,19,42.9
280,20,48.8
280,21,55.2
280,22,69.4
280,23,77.2
280,24,85.4
280,25,94.1
280,26,112.8
280,27,122.8
280,28,133.2
280,29,144.1
280,30,167
280,31,179
280,33,204.1
280,34,230.2
280,35,244
280,37,272.4
280,38,301.6
280,41,346.8
280,42,377.7
280,45,424.8
280,46,456.6
280,49,504.8
280,50,537.1
280,53,585.5
280,54,617.8
280,57,665.8
280,58,697.6
280,61,744.7
280,62,775.6
280,65,821.2
280,66,851
280,69,894.8
280,70,923.2
280,72,951.1
280,73,964.7
280,74,991.6
280,76,1017.9
280,77,1030.7
280,78,1055.9
280,80,1080.4
280,81,1092.3
280,82,1115.7
280,83,1127.1
280,85,1149.3
280,86,1170.7
280,87,1181.2
280,89,1201.4
280,90,1220.9
280,91,1230.4
280,93,1248.7
280,94,1266.2
280,95,1274.7
280,97,1291
280,98,1306.5
280,100,1321.3
280,101,1328.3
280,102,1341.9
280,103,1348.4
280,104,1354.7
280,105,1360.8
280,106,1372.5
280,108,1383.4
280,109,1388.5
280,110,1398.3
280,111,1402.9
280,113,1411.6
280,114,1419.5
280,115,1423.2
280,117,1430.1
280,118,1436.3
280,119,1439.1
280,120,1441.8
280,121,1444.3
280,122,1448.8
280,123,1450.9
280,124,1452.7
280,125,1454.4
280,126,1457.3
280,127,1458.6
280,128,1459.7
280,129,1460.6
280,130,1462
280,131,1462.5
280,132,1462.8
280,133,1463
280,134,1463.1
279,0,0
279,3,0
279,5,0.2
279,6,0.7
279,7,1.1
279,8,1.6
279,9,2.4
279,10,4.4
279,11,5.8
279,12,7.4
279,13,9.3
279,14,14
279,15,16.9
279,16,20.1
279,17,23.6
279,18,31.8
279,19,36.5
279,20,41.5
279,21,46.9
279,22,59
279,23,65.6
279,24,72.6
279,25,80
279,26,95.9
279,27,104.4
279,28,113.2
279,29,122.5
279,30,142
279,31,152.2
279,32,162.7
279,33,173.5
279,34,195.7
279,35,207.4
279,37,231.5
279,38,256.4
279,39,269
279,41,294.8
279,42,321.1
279,45,361.1
279,46,388.1
279,49,429.1
279,50,456.5
279,53,497.7
279,54,525.1
279,57,565.9
279,58,593
279,61,633
279,62,659.3
279,65,698
279,66,723.3
279,69,760.6
279,70,784.7
279,72,808.4
279,73,820
279,74,842.9
279,76,865.2
279,77,876.1
279,78,897.5
279,79,908
279,81,928.5
279,82,948.4
279,84,967.6
279,85,976.9
279,86,995.1
279,88,1012.7
279,89,1021.2
279,90,1037.8
279,92,1053.7
279,93,1061.4
279,94,1076.3
279,95,1083.5
279,97,1097.4
279,98,1110.5
279,99,1116.9
279,100,1123.1
279,101,1129
279,102,1140.6
279,104,1151.5
279,105,1156.7
279,106,1166.6
279,108,1175.9
279,109,1180.2
279,110,1188.6
279,111,1192.5
279,113,1199.9
279,114,1206.6
279,115,1209.7
279,116,1212.7
279,117,1215.6
279,118,1220.9
279,120,1225.5
279,121,1227.7
279,122,1231.5
279,123,1233.3
279,124,1234.8
279,125,1236.2
279,126,1238.7
279,127,1239.8
279,128,1240.8
279,129,1241.5
279,130,1242.7
279,131,1243.1
279,132,1243.4
279,134,1243.6
251,0,0
251,1,0
251,2,0.4
251,3,0.6
251,5,1.2
251,6,2
251,7,2.4
251,8,2.9
251,9,3.3
251,10,4.3
251,12,5.5
251,13,6
251,14,7.3
251,15,7.9
251,16,8.6
251,17,9.2
251,18,10.6
251,19,11.3
251,20,12.1
251,21,12.8
251,22,14.3
251,25,16.7
251,26,18.3
251,27,19.1
251,28,20
251,29,20.8
251,30,22.5
251,32,24.3
251,33,25.1
251,34,26.9
251,37,29.6
251,38,31.4
251,39,32.4
251,41,34.2
251,42,36.1
251,44,37.9
251,45,38.9
251,46,40.8
251,48,42.6
251,49,43.6
251,50,45.5
251,51,46.4
251,52,47.4
251,53,48.3
251,54,50.2
251,55,51.2
251,56,52.1
251,57,53.1
251,58,55
251,59,55.9
251,60,56.9
251,61,57.8
251,62,59.7
251,63,60.7
251,64,61.6
251,65,62.6
251,66,64.4
251,67,65.4
251,69,67.2
251,70,69.1
251,73,71.8
251,74,73.7
251,77,76.4
251,78,78.2
251,81,80.9
251,82,82.6
251,84,84.4
251,85,85.2
251,86,87
251,87,87.8
251,88,88.7
251,89,89.5
251,90,91.2
251,91,92.1
251,93,93.7
251,94,95.4
251,97,97.8
251,98,99.4
251,101,101.8
251,102,103.3
251,104,104.9
251,105,105.6
251,106,107.1
251,107,107.9
251,108,108.6
251,109,109.4
251,110,110.8
251,111,111.5
251,112,112.3
251,113,113
251,114,114.4
251,117,116.5
251,118,117.8
251,120,119.2
251,121,119.8
251,122,121.1
251,123,121.8
251,125,123
251,126,124.3
251,128,125.5
251,129,126.2
251,130,127.4
251,131,128
251,132,128.5
251,133,129.1
251,134,130.3
251,135,130.9
251,136,131.4
251,137,132
251,138,133.1
251,139,133.6
251,140,134.2
251,141,134.7
251,142,135.8
251,145,137.3
251,146,138.3
251,149,139.8
251,150,140.7
251,151,141.2
251,152,141.6
251,153,142.1
251,154,143
251,155,143.4
251,156,143.9
251,157,144.3
251,158,145.2
251,161,146.4
251,162,147.2
251,165,148.4
251,166,149.1
251,167,149.5
251,168,149.8
251,169,150.2
251,170,150.9
251,171,151.3
251,173,151.9
251,174,152.6
251,177,153.5
251,178,154.2
251,179,154.5
251,180,154.7
251,181,155
251,182,155.6
251,183,155.9
251,184,156.1
251,185,156.4
