TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM,ORIGIN
1,0,0,0,985502004,managed,planted
2,0,0,0,985503001,managed,planted
3,0,0,0,985502003,managed,planted
4,0,0,0,985503000,managed,planted
5,0,0,0,985501003,managed,natural
6,0,0,0,985501003,managed,planted
7,0,0,0,985501001,managed,planted
8,0,0,0,985502002,managed,natural
9,0,0,0,985502002,managed,planted
10,0,0,0,985501000,managed,planted
11,0,0,0,985502001,managed,planted
12,0,0,0,985503003,managed,natural
13,0,0,0,985503003,managed,planted
14,0,0,0,985501000,managed,natural
15,0,0,0,985502003,managed,natural
16,0,0,0,985503000,managed,natural
17,0,0,0,985502006,managed,natural
18,0,0,0,985502006,managed,planted
19,0,0,0,985502007,managed,natural
20,0,0,0,985502007,managed,planted
21,0,0,0,985501001,managed,natural
22,0,0,0,985502008,managed,natural
23,0,0,0,985502008,managed,planted
24,0,0,0,985502001,managed,natural
25,0,0,0,985502005,managed,natural
26,0,0,0,985502005,managed,planted
27,0,0,0,985503001,managed,natural
