TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
1,30,756,CC,false,1,A,0,0,,0,
2,54,756,CC,false,2,A,0,0,,0,
3,82,756,CC,false,3,A,0,0,,0,
4,58,756,CC,false,4,A,0,0,,0,
5,90,756,CC,false,6,A,0,0,,0,
6,90,756,CC,false,6,A,0,0,,0,
7,94,756,CC,false,7,A,0,0,,0,
8,62,756,CC,false,9,A,0,0,,0,
9,62,756,CC,false,9,A,0,0,,0,
10,58,756,CC,false,10,A,0,0,,0,
11,58,756,CC,false,11,A,0,0,,0,
12,78,756,CC,false,13,A,0,0,,0,
13,78,756,CC,false,13,A,0,0,,0,
14,58,756,CC,false,10,A,0,0,,0,
15,82,756,CC,false,3,A,0,0,,0,
16,58,756,CC,false,4,A,0,0,,0,
17,74,756,CC,false,18,A,0,0,,0,
18,74,756,CC,false,18,A,0,0,,0,
19,66,756,CC,false,20,A,0,0,,0,
20,66,756,CC,false,20,A,0,0,,0,
21,94,756,CC,false,7,A,0,0,,0,
22,66,756,CC,false,23,A,0,0,,0,
23,66,756,CC,false,23,A,0,0,,0,
24,58,756,CC,false,11,A,0,0,,0,
25,58,756,CC,false,26,A,0,0,,0,
26,58,756,CC,false,26,A,0,0,,0,
27,54,756,CC,false,2,A,0,0,,0,
